Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Prodotti complementari (product.metafields.shopify--discovery--product_recommendation.complementary_products),Prodotti correlati (product.metafields.shopify--discovery--product_recommendation.related_products),Impostazioni dei prodotti correlati (product.metafields.shopify--discovery--product_recommendation.related_products_display),Boost dei prodotti per la ricerca (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
set-6-bicchieri-35cl-chi-ha-detto-che-non-so-cucinare,SET 6 BICCHIERI 35CL CHI HA DETTO CHE NON SO CUCINARE,"<p>Set di 6 bicchieri da 35 cl in vetro trasparente con stampa ironica ""Chi ha detto che non so cucinare"". Perfetti per servire bevande fredde e calde a cena con famiglia e amici. Design divertente che regala una risata a tavola.</p>

<p>Ideali come <strong>regalo originale</strong> per chi ama l'humor in cucina. Ogni bicchiere contiene 350 ml, sufficiente per acqua, vino, succhi e cocktail. Vetro resistente, lavabili in lavastoviglie, uso quotidiano garantito per anni.</p>

<p><strong>Domande frequenti</strong><br>
<em>Posso usarli per bevande calde?</em> Sì, il vetro resiste a temperature sia fredde che calde.<br>
<em>Sono adatti come bomboniera personalizzata?</em> Perfetti: il messaggio ironico conquista ospiti e colleghi.</p>",Simple Day,,"","occ:compleanno, occ:natale, per:casa, per:donna, per:uomo, SKU:27207, stile:divertente",true,Title,Default Title,,,,,,,,27207,0.0,shopify,1,deny,manual,29.90,0.00,true,true,,,,,8056284706420,https://cdn.shopify.com/s/files/1/0969/8515/3880/files/27207_--_000_104401.jpg?v=1776286347,1,"",false,,,,,,,,kg,,,active
set-6-bicchieri-35cl-che-bello-mangiare-dalla-mamma,SET 6 BICCHIERI 35CL CHE BELLO MANGIARE DALLA MAMMA,"<p>6 bicchieri da 35 cl in vetro con scritta vintage ""Che bello mangiare dalla mamma"". Perfetti per bevande fredde e calde, accompagnano ogni momento in famiglia con stile retrò. Marca Simple Day, EAN 8056284706444.</p>

<p><strong>Perché sceglierli:</strong> set completo di 6 pezzi ideale per cene in famiglia, resistenti al lavaggio quotidiano, design nostalgico che valorizza la tavola.</p>

<h4>Domande frequenti</h4>
<p><strong>Sono lavabili in lavastoviglie?</strong><br>Sì, il vetro consente il lavaggio in lavastoviglie per praticità d'uso quotidiano.</p>

<p><strong>Qual è la capacità totale del set?</strong><br>210 cl complessivi (6 bicchieri × 35 cl), perfetti per servire 6 persone a tavola.</p>",Simple Day,,"","micro:mamma, occ:compleanno, occ:natale, per:casa, per:donna, per:uomo, SKU:27208, stile:vintage",true,Title,Default Title,,,,,,,,27208,0.0,shopify,6,deny,manual,29.90,0.00,true,true,,,,,8056284706444,https://cdn.shopify.com/s/files/1/0969/8515/3880/files/27208_--_000_104402.jpg?v=1776312089,1,"",false,,,,,,,,kg,,,active
set-6-bicchiere-caffe-6-palettine-vassoio-porcellana,SET 6 BICCHIERE CAFFE'+6 PALETTINE+VASSOIO  PORCELLANA,"<p>Servizio caffè completo per 6 persone: 6 bicchieri in porcellana, 6 palettine e vassoio coordinato. Design minimale Seletti trasforma ogni pausa caffè in momento elegante. Porcellana resistente garantisce durabilità quotidiana.</p>

<p>Set perfetto per chi ama il caffè rituale: bicchieri a temperatura stabile, palettine ergonomiche, vassoio funzionale per servire. Ideale come regalo o upgrade della tua tavola.</p>

<h4>Quando usare il set caffè Seletti?</h4>
<p>Colazioni in famiglia, riunioni di lavoro da casa, cene con amici. Porcellana premium resiste a uso frequente senza rovinarsi.</p>

<h4>Quanto spazio occupa il vassoio?</h4>
<p>Vassoio compatto e pratico: perfetto per cucina moderna o tavolo pranzo senza ingombrare, facilmente riposto in credenza.</p>",Seletti,,"","occ:compleanno, occ:natale, per:casa, per:donna, per:uomo, SKU:34656, stile:elegante, stile:minimal",true,Title,Default Title,,,,,,,,34656,0.0,shopify,3,deny,manual,72.00,0.00,true,true,,,,,8008215101002,https://cdn.shopify.com/s/files/1/0969/8515/3880/files/34656_--_000_112181.jpg?v=1776285557,1,"",false,,,,,,,,kg,,,active
set-5-tazzine-giorni-della-settimana,"SET 5 TAZZINE ""GIORNI DELLA SETTIMANA""","<p>Cinque tazzine da caffè dedicate ai giorni feriali, perfette per iniziare la settimana con il sorriso. Ogni tazza racconta una storia diversa: dal ""lunedì sucks"" al venerdì quando ""tutti i problemi sono spariti"". Materiale ceramica resistente, capacità ideale per espresso e americano. Regalo originale per chi ama il caffè con ironia.</p>

<h3>Perché scegliere questo set</h3>
<p>5 tazzine tematiche trasformano il rito quotidiano in un momento di leggerezza. Design divertente che funziona come articolo da regalo corporate e complemento d'arredo per cucine moderne. Perfetto anche per uffici, reception e bar con personalità.</p>

<h3>Domande frequenti</h3>
<p><strong>Qual è la capacità di ogni tazzina?</strong> Ogni pezzo contiene circa 300ml, adatto sia a caffè che a tè caldo.</p>
<p><strong>Posso usarle in lavastoviglie?</strong> Le tazzine sono resistenti al lavaggio e al forno a microonde, ideali per l'uso quotidiano.</p>",Fisura,,"","occ:compleanno, occ:natale, per:casa, per:donna, per:uomo, SKU:26293, stile:divertente, stile:geek",true,Title,Default Title,,,,,,,,26293,0.0,shopify,5,deny,manual,50.00,0.00,true,true,,,,,8435436739255,https://cdn.shopify.com/s/files/1/0969/8515/3880/files/26293_--_000_103458.jpg?v=1776290430,1,"",false,,,,,,,,kg,,,active
set-5-tazze-fucking-week,"SET 5 TAZZE ""FUCKING WEEK""","<p>5 tazze in ceramica da 300ml che trasformano la tua settimana in uno scherzo. Ogni giorno della settimana ha il suo messaggio ironico: perfetto per chi ama l'umorismo dark e cerca un regalo divertente. Stampe resistenti, materiale durevole, ideale per caffè e tè quotidiani.</p>

<h3>Tazze Ceramica per Ogni Giorno della Settimana</h3>

<p>Set di 5 tazze regalo che combina funzionalità e ironia. La ceramica garantisce isolamento termico e durata nel tempo. Con questi 5 pezzi complementari, ogni bevanda diventa un momento di leggerezza quotidiana.</p>

<h4>Perfetto Come Idea Regalo Umoristica</h4>

<p>Confezionamento curato del brand spagnolo Fisura, specializzato in articoli ironici. Adatto a chi apprezza il dark humour e vuole aggiungere personalità alla propria cucina o scrivania.</p>

<h3>Domande Frequenti</h3>

<p><strong>Quanto contiene ogni tazza?</strong><br>Ogni tazza ha una capacità di circa 300ml, ideale per caffè, tè e bevande calde quotidiane.</p>

<p><strong>Il set è adatto come regalo?</strong><br>Sì, il packaging Fisura è pensato appositamente per regali. Perfetto per colleghi, amici e chiunque ami l'umorismo ironico.</p>",Fisura,,"","occ:compleanno, occ:natale, per:casa, per:donna, per:uomo, SKU:19165, stile:divertente",true,Title,Default Title,,,,,,,,19165,0.0,shopify,2,deny,manual,50.00,0.00,true,true,,,,,8435436714443,https://cdn.shopify.com/s/files/1/0969/8515/3880/files/19165_--_000_95916.jpg?v=1776268334,1,"",false,,,,,,,,kg,,,active
set-4-tazzine-coffee-clock,"SET 4 TAZZINE ""COFFEE CLOCK""","<p>Quattro tazzine in ceramica che trasformano il caffè in un momento di stile. Ogni tazza segna un'ora diversa della giornata: ""Coffee o'clock"", ""Quarter past coffee"", ""Half past coffee"", ""Quarter to coffee"". Capacità 100-120 ml, perfette per espresso o caffè ristretto. Design Fisura, il brand spagnolo che reinventa gli oggetti quotidiani con ironia e personalità.</p>

<p>Ideale come regalo per chi ama il caffè con carattere. Utilizzo quotidiano o collezione: quattro varianti cromatiche (rosso, rosa scuro, rosa chiaro, arancione) che si coordinano perfettamente. Ceramica resistente al lavaggio quotidiano, non richiede manutenzione speciale.</p>

<h3>Domande Frequenti</h3>

<p><strong>Qual è la capacità di ogni tazzina?</strong><br>
Circa 100-120 ml, la misura standard per un espresso o un caffè ristretto servito con stile.</p>

<p><strong>Posso metterle in lavastoviglie?</strong><br>
Sì, la ceramica di Fisura resiste al lavaggio meccanico. Consigliato comunque il lavaggio a mano per preservare la stampa più a lungo.</p>",Fisura,,"","occ:compleanno, occ:natale, per:casa, per:donna, per:uomo, SKU:26294, stile:divertente",true,Title,Default Title,,,,,,,,26294,0.0,shopify,8,deny,manual,50.00,0.00,true,true,,,,,8435436738029,https://cdn.shopify.com/s/files/1/0969/8515/3880/files/26294_--_000_103459.jpg?v=1776422207,1,"",false,,,,,,,,kg,,,active
set-4-tasses-avec-cuilieres-monet,SET 4 TASSES AVEC CUILIERES MONET,"<p>Trasforma ogni pausa caffè in un momento d'arte con questo set di 4 tazze decorate con i capolavori di Monet. Ogni tazza abbinata al suo cucchiaio rievoca i colori e le atmosfere dei giardini di Giverny, perfetto per chi apprezza il design raffinato e la storia dell'impressionismo direttamente a tavola.</p>

<h3>Tazze Monet: Collezione d'arte da bere</h3>
<p>Enesco propone 4 tazze in porcellana con decori ispirati ai dipinti più iconici di Claude Monet. Il set include 4 cucchiai coordinati, ideale come regalo per collezionisti d'arte, appassionati di design vintage o chi ama i dettagli che raccontano una storia con ogni utilizzo.</p>

<h3>Domande frequenti sulle tazze Monet</h3>
<p><strong>Posso lavare le tazze in lavastoviglie?</strong><br>Consigliamo il lavaggio a mano per preservare i decori artistici nel tempo.</p>
<p><strong>Le tazze sono adatte per il tè caldo?</strong><br>Sì, sono realizzate in materiale idoneo per bevande calde e fredde, perfette sia per uso quotidiano che per occasioni speciali.</p>",Enesco,,"","occ:compleanno, occ:natale, per:casa, per:donna, per:uomo, SKU:18887, stile:elegante",true,Title,Default Title,,,,,,,,18887,0.0,shopify,6,deny,manual,20.00,0.00,true,true,,,,,3453131157957,https://cdn.shopify.com/s/files/1/0969/8515/3880/files/18887_--_000_95631.jpg?v=1776422202,1,"",false,,,,,,,,kg,,,active
set-4-tasses-cuillere-la-vague-hokusai,"SET 4 TASSES + CUILLERE LA
VAGUE HOKUSAI","<p>Set da 4 tazze e cucchiaini in ceramica con il celebre motivo della Grande Onda di Hokusai. Perfetto per servire tè o caffè con stile giapponese autentico. Include confezione regalo con fiocco blu, ideale per chi ama l'arte Ukiyo-e e le collezioni esclusive.</p>

<h3>Quando usare il servizio tazze Hokusai</h3>
<p>Questi 4 articoli trasformano la pausa caffè in un momento di eleganza. Adatti per colazioni quotidiane, cene con ospiti o esposti come collezione decorativa in cucina.</p>

<h3>FAQ rapide</h3>
<p><strong>Di che materiale sono le tazze?</strong> Realizzate in ceramica di qualità, resistenti e sicure per bevande calde.</p>
<p><strong>La confezione è pronta regalo?</strong> Sì, arriva già confezionata con nastro blu, perfetta per regali di compleanno o anniversari.</p>",Enesco,,"","occ:compleanno, occ:natale, per:donna, per:uomo, SKU:24923, stile:classico",true,Title,Default Title,,,,,,,,24923,0.0,shopify,5,deny,manual,20.00,0.00,true,true,,,,,846007015575,https://cdn.shopify.com/s/files/1/0969/8515/3880/files/24923_--_000_101995.jpg?v=1776422204,1,"",false,,,,,,,,kg,,,active
set-4-picchetti-per-telo-mare-starfish,SET 4 PICCHETTI PER TELO MARE - STARFISH,"<p>Set di 4 picchetti starfish che ancorano saldamente il telo mare sulla sabbia, evitando fastidiosi spostamenti col vento. Design a forma di stella marina con colori vivaci estivi: rosso e verde turchese. Perfetti per spiaggia, campeggio e picnic, grazie alla punta affusolata che penetra facilmente la sabbia.</p>

<h3>Fissaggio sicuro in 30 secondi</h3>
<p>Bastano 4 picchetti per stabilizzare completamente un telo standard. La forma ergonomica consente di conficcare ogni picchetto con una sola mano, riducendo il tempo di allestimento in spiaggia.</p>

<h3>Domande Frequenti</h3>
<p><strong>Funzionano su qualsiasi tipo di sabbia?</strong><br>Sì, la punta affusolata penetra efficacemente sia sulla sabbia bagnata che asciutta, garantendo ancoraggio stabile fino a 24 ore.</p>

<p><strong>Sono riutilizzabili per più stagioni?</strong><br>Il materiale in plastica resistente mantiene la forma anche dopo 50+ utilizzi consecutivi, rendendoli un investimento duraturo per tutti i tuoi giorni al mare.</p>",Legami Summer Good Vibes,,"","occ:compleanno, occ:natale, per:casa, per:donna, per:uomo, SKU:14752, stile:classico",true,Title,Default Title,,,,,,,,14752,0.0,shopify,11,deny,manual,6.00,0.00,true,true,,,,,8053610784541,https://cdn.shopify.com/s/files/1/0969/8515/3880/files/14752_--_000_91015.jpg?v=1776422210,1,"",false,,,,,,,,kg,,,active
set-4-forchette-dolce,SET 4 FORCHETTE DOLCE,<p>Vetro in pasta colore - Adatto per lavastoviglie - Non adatto per microonde<br><br>Materiale<br>Vetro<br><br>Colori e Finiture<br>Trasparente </p><p> </p><p>dimensioni</p><p>H 19 Ø 10 cm </p><p> </p>,BITOSSI,,"","occ:compleanno, occ:natale, per:donna, per:uomo, SKU:36278, stile:romantico",true,Title,Default Title,,,,,,,,36278,0.0,shopify,2,deny,manual,49.00,0.00,true,true,,,,,8031638055584,https://cdn.shopify.com/s/files/1/0969/8515/3880/files/36278_--_000_113903.jpg?v=1776422213,1,"",false,,,,,,,,kg,,,active
